id,translated_arabian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
167,وقد أصبح نظام ASUS eee PC، الذي أُطلق في وقت سابق على نطاق العالم من أجل تحقيق وفورات في التكاليف وعوامل وظيفية، موضوعاً ساخناً في شهر تكنولوجيا المعلومات في عام 2007.,أصبح Eee PC من ASUS الذي أُطلق في وقت سابق في جميع أنحاء العالم لعوامل توفير التكاليف والقدرة الوظيفية، موضوعاً مثيراً في شهر تكنولوجيا المعلومات في تايبيه لعام 2007.,أصبح جهاز ASUS Eee PC، الذي تم إطلاقه في وقت سابق في جميع أنحاء العالم لأسباب تتعلق بتوفير التكاليف والوظائف، موضوعًا ساخنًا في شهر تكنولوجيا المعلومات في تايبيه عام 2007.,0.8718298077583313,0.8736299276351929,0.8727288842201233,0.8917320966720581,0.8786640167236328,0.8851498365402222
168,ولكن سوق الاستهلاك في الحواسيب الحجرية ستتنوع بشكل جذري وستتغير بعد أن منحت شركة ASUS في جائزة تايوان المستدامة لعام 2007 من قبل المدير التنفيذي لجمهورية الصين يوان.,لكن سوق المستهلكين لأجهزة الحاسوب المحمولة سيتنوع ويتغير جذرياً بعد أن حازت شركة أسوس في 2007 على جائزة تايوان للاستدامة المقدمة من القسم التنفيذي يوان من حكومة جمهورية الصين.,لكن سوق المستهلكين لأجهزة الكمبيوتر المحمولة سيتغير بشكل جذري بعد أن تم منح شركة ASUS جائزة تايوان المستدامة عام 2007 من قبل مجلس تنفيذ جمهورية الصين.,0.852902889251709,0.8485091328620911,0.850700318813324,0.86483234167099,0.8926506042480469,0.8785212635993958
169,"موقع المحطة على الإنترنت يصف البرنامج بأنه ""مسرح راديو مدرسي قديم مع دوران جديد ومهوس وفظيع!""","وصف موقع المحطّة الإلكتروني العمل بأنه ""مسرح إذاعي على الطريقة القديمة، بانعطاف غريب الأطوار، جديد وصارخ!""","يصف موقع المحطة البرنامج بأنه ""مسرح إذاعي بأسلوب قديم مع لمسة جديدة ومجنونة من الثقافات الفرعية!""",0.8261672258377075,0.7811204195022583,0.8030125498771667,0.8632029891014099,0.8300783038139343,0.8463166952133179
170,وفي أيامه الأولى، لم يُعرض العرض إلا في موقع إذاعة الإنترنت الطويل الأمد TogiNet Radio، وهو موقع يركز على الإذاعة الحوارية.,"في أيامه الأولى، أُذيع البرنامج حصراً على موقع راديو الإنترنت الموجود منذ فترة طويلة ""توجي نت راديو""، وهو الموقع الذي يركز على الراديو الحواري.",في أيامه الأولى، كان البرنامج يُعرض بشكل حصري على موقع توغي نت راديو، وهو موقع إذاعي عبر الإنترنت يتميز بتركيزه على برامج الحوار.,0.8294926285743713,0.8006237745285034,0.8148025274276733,0.8015362024307251,0.7986851930618286,0.8001081943511963
171,وفي أواخر عام 2015، أنشأت شركة TogiNet محطة فرعية لإذاعة الفضاء (AstroNet).,"في أواخر عام 2015، أنشأت ""توجي نت"" راديو ""أسترو نت "" كمحطة إذاعية تابعة.",في أواخر عام 2015، أنشأت توجي نت محطة أسترو نت راديو كفرع تابع.,0.8153060674667358,0.793130099773407,0.8040652275085449,0.8190492391586304,0.8073489665985107,0.8131570219993591
172,العرض الأصلي يظهر ممثلي الصوت الهواة، المحلي إلى شرق تكساس.,عرض البرنامج في الأصل ممثلي صوت الهواة، من محلية إلى شرق تكساس.,كان العرض في الأصل يتضمن ممثلي أصوات هواة من东 تكساس.,0.8573802709579468,0.865576446056366,0.8614588975906372,0.8014776706695557,0.8246265053749084,0.8128873705863953
173,وتفيد التقارير بأن أعمال النهب الواسعة النطاق استمرت بين عشية وضحاها، حيث لم يكن موظفو إنفاذ القانون موجودين في شوارع بيشكيك.,"أفادت تقارير باستمرار أعمال النهب على نطاق واسع حتى صباح اليوم التالي وذلك لغياب ضباط إنفاذ القانون عن شوارع مدينة ""بيشكك"".",تشير التقارير إلى أن عمليات النهب الواسعة النطاق استمرت طوال الليل، حيث لم يكن هناك أي وجود لوكالات إنفاذ القانون في شوارع بيشكيك.,0.7764225006103516,0.7854373455047607,0.7809038758277893,0.8755784630775452,0.9030435085296631,0.8890990018844604
174,"ووصف أحد المراقبين بيشكيك بأنه يغرق في حالة من ""الفوضى""، حيث تجولت عصابات من الناس في الشوارع ونهبت مخازن السلع الاستهلاكية.","وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة من ""فقدان السيطرة""، حيث تجولت عصابات من الناس في الطرقات وقاموا بنهب مخازن السلع الاستهلاكية.","وصف أحد المراقبين بيشكيك بأنها تغرق في حالة من ""الفوضى"" بينما كانت عصابات من الناس تجوب الشوارع وتنهب المتاجر من السلع الاستهلاكية.",0.917511522769928,0.9173771739006042,0.9174443483352661,0.9069656729698181,0.9084913730621338,0.907727837562561
175,وألقى عدد من سكان بيشكيك اللوم على متظاهرين من الجنوب بسبب الخروج على القانون.,"حمّل العديد من سكان مدينة ""بشكيك"" المتظاهرين في الجنوب حالة الفوضى.",اتهم العديد من سكان بيشكك المتظاهرين من الجنوب بالفوضى.,0.8169131875038147,0.8246320486068726,0.8207544088363647,0.8357693552970886,0.8731505274772644,0.8540511131286621
176,"لقد هزمت جنوب أفريقيا جماعة "" آل بلاك "" (نيوزيلندا) في مباراة تراي أمومات اتحاد الركبي في ملعب بافوكينج الملكي في روستنبرغ بجنوب أفريقيا.",هزمت جنوب أفريقيا فريق الرجبي النيوزيلندي الملقب بالسود في مباراة اتحاد ثلاثي الأمم للرجبي في استاد رويال بافوكينج في روستنبرج بجنوب أفريقيا.,هزمت جنوب أفريقيا منتخب نيوزيلندا (الأولاد السود) في مباراة ريغبي الاتحاد الثلاثية في استاد رويال بافوكينغ في راستنبورغ، جنوب أفريقيا.,0.822929859161377,0.8290650844573975,0.8259860873222351,0.8317070007324219,0.8421236872673035,0.8368828892707825
177,النتيجة النهائية كانت إنتصاراً من نقطة واحدة 21 إلى 20، إنهاء فوز كل السود الخمسة عشر في اللعبة.,كانت النتيجة النهائية فوز بنقطة واحدة، 21 إلى 20، لتنهي مسيرة الفوز الخاصة بفريق أول بلاكس التي دامت ل15 مباراة.,"كانت النتيجة النهائية انتصاراً بفارق نقطة واحدة، 21 مقابل 20، منهية سلسلة انتصارات فريق الـ""أول بلاكس"" التي استمرت 15 مباراة.",0.7697604894638062,0.7449682354927063,0.7571614384651184,0.7825624346733093,0.7689414620399475,0.7756921648979187
178,بالنسبة لـ (سبربوكس) أنهى خمس مباريات خاسرة,بالنسبة لمنتخب جنوب أفريقيا للرغبي، أنهى هذا سلسلة هزائم استمرّت لخمس مباريات.,بالنسبة لفرق السبرينجبوكس، انتهت سلسلة هزائمها التي استمرت لخمس مباريات.,0.7454519271850586,0.7040812969207764,0.7241762280464172,0.7831655144691467,0.7483455538749695,0.7653596997261047
179,كانت المباراة النهائية لآل بلاك الذين فازوا بالجائزة قبل أسبوعين,كانت المباراة النهائية لأول بلاكس، الذين سبق لهم الفوز بالفعل باللقب قبل أسبوعين.,كانت المباراة النهائية لمنتخب الأل بلاكس، الذين تمكنوا من الفوز بالكأس قبل أسبوعين.,0.8144094944000244,0.7933883666992188,0.8037614822387695,0.8566634654998779,0.8058893084526062,0.8305010199546814
180,المباراة النهائية للسلسلة ستقام في (أليس بارك) في (جوهانسبرج) الأسبوع القادم، عندما يلعب (سبرينغبوكز) دور (أستراليا).,ستُعقد المباراة الأخيرة من السلسلة الأسبوع القادم في ملعب إليس بارك في جوهانسبرغ عندما يقابل منتخب جنوب أفريقيا للرغبي أستراليا.,ستقام المباراة النهائية للسلسلة في ملعب إليس بارك في جوهانسبرغ الأسبوع المقبل، عندما يلعب فريق سبرينغبوك ضد أستراليا.,0.7891442775726318,0.8070592880249023,0.7980012893676758,0.8544200658798218,0.8794451355934143,0.8667519688606262
181,هز زلزال معتدل غرب مونتانا في الساعة 10: 08 مساء يوم الاثنين.,ضرب زلزال متوسط القوة مونتانا الغربية الساعة ١٠:٠٨ مساءً. يوم الاثنين.,هَزَّ زلزال معتدل غرب مونتانا في الساعة 10:08 مساءً يوم الإثنين.,0.7746091485023499,0.7769884467124939,0.7757970094680786,0.9696043729782104,0.9414502382278442,0.9553199410438538
182,ولم ترد تقارير فورية عن الأضرار من هيئة المسح الجيولوجي التابعة للولايات المتحدة ومركز المعلومات الوطني عن الزلازل التابع لها.,ولم ترد تقارير فورية عن وقوع أضرار من قبل هيئة المسح الجيولوجي الأمريكي (USGS) ومركز معلومات الزلازل الوطني التابع لها.,لم تتلقَ هيئة المسح الجيولوجي الأمريكية (USGS) ومركز المعلومات الوطني للزلازل أي تقارير فورية عن الأضرار.,0.9137002825737,0.9088289141654968,0.9112581014633179,0.8608810305595398,0.8537722229957581,0.8573119044303894
183,وكان الزلزال يتمركز على بعد نحو ٢٠ كيلومترا )١٥ ميلا( شمالا شمال شرق ديلون، ونحو ٦٥ كيلومترا )٤٠ ميلا( جنوب بوت.,وكان مركز الزلزال على بعد حوالي 20 كم (15 ميلاً) بين شمال وشمال شرق ديلون، وحوالي 65 كم (40 ميلاً) جنوب بوتي.,كان مركز الزلزال على بعد حوالي 20 كيلومترًا (15 ميل) شمال شمال شرق ديلون، وحوالي 65 كيلومترًا (40 ميل) جنوب بوت.,0.8043557405471802,0.8136928677558899,0.8089973330497742,0.8095300793647766,0.8306145071983337,0.8199368119239807
184,وقد تأكد أن سلالة إنفلونزا الطيور القاتلة للبشر، H5N1، قد أصابت بطة برية ميتة، وجدت يوم الاثنين، في الأهوار بالقرب من ليون في شرق فرنسا.,تأكد إصابة بطة برية نافقة بسلالة إنفلونزا الطيور القاتلة للإنسان، H5N1، وقد عثر عليها يوم الاثنين، في مستنقعات بالقرب من ليون في شرق فرنسا.,تم تأكيد إصابة سلالة إنفلونزا الطيور القاتلة للبشر، H5N1، ببطّة برية ميتة تم العثور عليها يوم الاثنين في منطقة المستنقعات قرب ليون في شرق فرنسا.,0.8714014887809753,0.8670175075531006,0.8692039251327515,0.8883129358291626,0.8720782995223999,0.8801207542419434
185,وفرنسا هي البلد السابع في الاتحاد الأوروبي الذي يعاني من هذا الفيروس؛ بعد النمسا وألمانيا وسلوفينيا وبلغاريا واليونان وإيطاليا.,فرنسا هي البلد السابع ضمن الاتحاد الأوروبي الذي يعاني من هذا الفيروس؛ بعد النمسا وألمانيا وسلوفينيا وبلغاريا واليونان وإيطاليا.,فرنسا هي الدولة السابعة في الاتحاد الأوروبي التي تتعرض لهذا الفيروس، بعد النمسا وألمانيا وسلوفينيا وبلغاريا واليونان وإيطاليا.,0.9678210020065308,0.9818402528762817,0.9747802019119263,0.9278934001922607,0.9509523510932922,0.9392814040184021
186,ولا تزال حالات الاشتباه في إصابتها بفيروس H5N1 في كرواتيا والدانمرك غير مؤكدة.,وتبقى الحالات المشتبه في إصابتها بفيروس H5N1 في كرواتيا والدنمارك غير مؤكدة.,حالات مشتبه بها من فيروس H5N1 في كرواتيا والدنمارك لا تزال غير مؤكدة.,0.9065726399421692,0.9073241949081421,0.9069482684135437,0.8720825910568237,0.8934549689292908,0.882639467716217
187,"رفعت (تشامبرز) دعوى على الله بتهمة ""الموت الواسع و الدمار و الإرهاب لملايين الملايين على الملايين من سكان الأرض""","لقد رفع تشامبرز دعوى قضائيةً ضد الله بتهمة ""انتشار الموت والدمار ترويع الملايين من سكان الأرض"".","قام تشامبرز برفع دعوى قضائية ضد الله بتهمة ""الوفاة الواسعة، والدمار، وإرهاب الملايين من سكان الأرض.""",0.8110358715057373,0.8283755779266357,0.819614052772522,0.8413073420524597,0.8387157320976257,0.8400095701217651
188,"(تشامبرز) وهو شخص لا علم له، يجادل بأن قضيته هي ""مذهلة"" و""أي شخص يمكنه أن يقاضي أي شخص""","يزعم تشامبرز، وهو لا أدري، أن قضيته ""تافهة"" وأن ""أي شخص يستطيع مقاضاة أي شخص"".","تشامبرز، الملحد، يجادل بأن دعواه القضائية ""تافهة"" و ""يمكن لأي شخص مقاضاة أي شخص"".",0.8153456449508667,0.8268524408340454,0.8210587501525879,0.7972583770751953,0.8051487803459167,0.8011841177940369
189,"القصة التي عرضت في الأوبرا الفرنسية، من قبل كاميل سانت-سانس، هي من الفنان ""الذي الحياة تمليها حب المخدرات واليابان.""","القصة التي قُدمت بالأوبرا الفرنسية، لكاميل سان ساينز، هي قصة فنان ""حياته محكومة بحب المخدرات واليابان.""","القصة المقدمة في الأوبرا الفرنسية، بواسطة كاميل سان-سانس، تدور حول فنان ""تحدد حياته حب المخدرات واليابان"".",0.8638790845870972,0.8644142150878906,0.8641465306282043,0.8895702362060547,0.9003514647483826,0.8949283361434937
190,ونتيجة لذلك، يدخّن مؤدّو الأداء مفاصل القنّب على المسرح، ويشجع المسرح نفسه الجمهور على الانضمام إليه.,ونتيجة لذلك، يدخن الفنانون لفائف القنب على خشبة المسرح، ويشجع المسرح نفسه الجمهور على مشاركتهم في ذلك.,نتيجة لذلك، يقوم الفنانون بتدخين سجائر الحشيش على المسرح، والمسرح ذاته يشجع الجمهور على الانضمام إليهم.,0.8414126038551331,0.85979825258255,0.850506067276001,0.8226672410964966,0.825336217880249,0.8239995837211609
191,رئيس مجلس النواب السابق نيوت جينجريش، حاكم تكساس ريك بيري، وعضوة الكونغرس ميشيل باكمان انتهت في المركز الرابع والخامس والسادس، على التوالي.,احتل رئيس مجلس النواب السابق نيوت جينجريتش، وحاكم تكساس ريك بيري، وعضوة الكونجرس ميشيل باكمان المراكز الرابع، والخامس، والسادس على التوالي.,انتهى رئيس مجلس النواب السابق نيوت غينغريتش، وحاكم تكساس ريك بيري، وعضوة الكونغرس ميشيل باخمان في المراكز الرابع والخامس والسادس على التوالي.,0.9042572975158691,0.8921414613723755,0.8981585502624512,0.9155442714691162,0.9034305214881897,0.9094470739364624
192,بعد النتائج التي جاءت، Ginglich Gengrich lithed سانتورم، ولكن كان كلمات صعبة لرومني، الذي باسمه تم بث إعلانات الحملة السلبية في ولاية آيوا ضد Gingrich.,"بعد ظهور النتائج، أثنى ""جينجريتش"" على ""سانتوروم""، لكنه وجه كلمات لاذعة إلى ""رومني""، والذي بُثت حملة إعلانية سلبية في ولاية ""آيوا"" ضد ""جينجريتش"" نيابةً عنه.",بعد صدور النتائج، أشاد جينغريتش بسانتorum، لكنه كان له كلمات قاسية تجاه رومني، الذي تم بث إعلانات حملة سلبية ضده في ولاية أيوا.,0.8014624118804932,0.7731317281723022,0.7870422005653381,0.798719048500061,0.8181942701339722,0.8083393573760986
193,"قال بيري أنه ""يعود إلى تكساس لتقييم نتائج تجمع الليلة، وتحديد ما إذا كان هناك طريق إلى الأمام بالنسبة لي في هذا السباق"" ، ولكن في وقت لاحق قال انه سوف يبقى في السباق والتنافس في 21 يناير جنوب كارولينا الابتدائية.","صرح بيري أنه قد ""أعود إلى تكساس لتقييم نتائج المؤتمر الحزبي للليلة، وتحديد ما إذا كان هناك مجال للتقدم لي في هذا السباق""، لكن قال لاحقاً أنه سيظل في السباق وينافس في 21 من كانون الثاني في انتخابات كارولاينا الجنوبية.",قال بيري إنه سيعود إلى تكساس لتقييم نتائج مؤتمر الليلة، وتحديد ما إذا كان هناك طريق للمضي قدماً في هذه المنافسة، لكنه قال لاحقاً إنه سيبقى في السباق وسيتنافس في الانتخابات التمهيدية في ولاية كارولينا الجنوبية في 21 يناير.,0.8532130718231201,0.8455374240875244,0.8493579030036926,0.8548652529716492,0.8497010469436646,0.8522753119468689
194,وباخمان، الذي فاز بجائزة أيمز ستراو بول في أغسطس، قرر إنهاء حملتها.,قررت باكمان، التي فازت في استفتاء آميس سترو في أغسطس، إنهاء حملتها الانتخابية.,باخمان، التي فازت بمسح آميس في أغسطس، قررت إنهاء حملتها الانتخابية.,0.8456075191497803,0.8030077219009399,0.8237572312355042,0.8513959646224976,0.8200502991676331,0.8354291915893555
195,ونُقل المصور إلى مركز رونالد ريغان الطبي التابع لجامعة كاليفورنيا، حيث توفي بعد ذلك.,نُقل المصور إلى مركز رونالد ريجان الطبي بجامعة كاليفورنيا حيث وافته المنية لاحقاً.,تم نقل المصور إلى مركز رونالد ريغان الطبي بجامعة كاليفورنيا، لوس أنجلوس، حيث توفي بعد ذلك.,0.9238040447235107,0.8961164951324463,0.9097496271133423,0.934262752532959,0.92295241355896,0.9285731315612793
196,"وفي بيان أدلى به بيبر قال: ""بينما لم أكن حاضراً أو متورطاً بشكل مباشر في هذا الحادث المأساوي، فإن أفكاري وصلواتي مع أسرة الضحية.""","وبحسب ما ورد في التقارير، فإنه كان في العشرينيات من عمره. وقال بيبر في بيان: ""بينما لم أكن حاضراً ولم أتواجد بشكل مباشر في هذا الحادث المأساوي، فإن أفكاري ودعواتي مع عائلة الضحية.""","وفقًا للتقارير، كان عمره في العشرينات. في بيان، قال بيبر: ""بينما لم أكن حاضرًا ولم أكن متورطًا مباشرة في هذا الحادث المأساوي، فإن أفكاري وصلواتي مع عائلة الضحية.""",0.8777625560760498,0.8191575407981873,0.8474479913711548,0.91100013256073,0.8689354658126831,0.8894707560539246
197,ويفهم موقع أخبار الترفيه TMZ أن المصور أوقف سيارته على الجانب الآخر من شارع سيبولفيدا وحاول التقاط صور لموقف الشرطة قبل عبور الطريق واستمراره، مما دفع ضابط شرطة دورية الطريق السريع في كاليفورنيا الذي يقوم بإيقاف حركة المرور إلى أن يأمره بالعودة مرتين.,تبين موقع TMZ الإخباري الترفيهي أن المصور أوقف مركبته على الجانب الآخر من شارع سيبولفيدا بوليفارد وحاول التقاط صور لحاجز الشرطة قبل عبور الطريق والمتابعة، مما دفع ضابط شرطة دورية الطرق السريعة في كاليفورنيا إلى عمل توقيف لحركة المرور لأمره بالعودة مرتين.,موقع أخبار الترفيه TMZ أفاد أن المصور أوقف سيارته على الجانب الآخر من شارع سيبولفيدا وحاول التقاط صور لحادث التوقيف الشرطي قبل أن يعبر الشارع ويواصل التصوير، مما دفع ضابط شرطة مركز المرور في كاليفورنيا الذي كان يجري التوقيف المروري إلى أمره بالعودة عبر الشارع، مرتين.,0.9001783132553101,0.8957667350769043,0.8979671597480774,0.8935906887054443,0.8756729960441589,0.8845410943031311
198,ووفقاً للشرطة، فإن سائق السيارة التي صدمت المصور من غير المرجح أن يواجه تهماً جنائية.,وبحسب ما ذكرته الشّرطة، فإنه ليس من المرجّح أن يواجه سائق المركبة التي صدمت المصوّر أيّ تهم جنائيّة.,وفقًا للشرطة، من غير المحتمل أن يواجه سائق المركبة التي صدمت المصور اتهامات جنائية.,0.8268576860427856,0.7812336683273315,0.8033984899520874,0.8674781322479248,0.8735272884368896,0.8704922199249268
199,ومع توفر ثمانية عشر ميدالية فقط في اليوم، فشل عدد من البلدان في جعل الميدالية منصة.,أخفق عدد من الدول في الوصول لمنصة التتويج نظراً للتنافس على ثمانية عشر ميدالية فقط في كل اليوم.,مع توفر ثمانية عشر ميدالية فقط في اليوم، فشلت عدد من الدول في الوصول إلى منصة الميداليات.,0.8300960063934326,0.7849843502044678,0.8069102168083191,0.9388407468795776,0.9209346771240234,0.9298015236854553
200,ومن بينها هولندا، حيث أنهت آنا جوكيمسن التاسعة في الصف النسائي الدائم في سوبر جي أمس، وفنلندا مع كاتيا سارينن الانتهاء العاشرة في نفس الحدث.,"حصلت ""آنا يوكيمسن"" ممثلة هولندا على المركز التاسع في فئة ترتيب السيدات في ""سوبر-جي"" يوم أمس، واحتلت فنلندا مع ""كاتيا سارينن"" المركز العاشر في نفس الحدث.",تتضمن البلاد هولندا، حيث احتلت آنا يوكهيمسن المركز التاسع في فئة السيدات في سباق السوبر جي أمس، وفنلندا حيث احتلت كاتيا ساريينن المركز العاشر في نفس الحدث.,0.803295373916626,0.7985878586769104,0.8009346723556519,0.808580756187439,0.8122745752334595,0.8104234933853149
201,(ميتشل غورلي) من أستراليا أنهى المرحلة الحادية عشرة في منافس الرجال السوبر جي التشيكي (أولدريش جيلينك) أنهى السادسة عشرة في جلوس الرجال السوبر جي,وقد احتل الأسترالي ميتشل جورلي المركز الحادي عشر في بطولة سوبر-جي للرجال. واحتل المنافس التشيكي أولدريش جيلينك المركز السادس عشر في بطولة سوبر-جي للرجال.,أنهى الأسترالي ميتشيل غورلي المركز الحادي عشر في سباق السوبر-جي لذوي الاحتياجات الخاصة (الوقوف) للرجال. بينما أنهى المتسابق التشيكي أولدريتش جيليينيك المركز السادس عشر في سباق السوبر-جي لذوي الاحتياجات الخاصة (الجلوس) للرجال.,0.7465789318084717,0.7374186515808105,0.7419705390930176,0.776973307132721,0.7304467558860779,0.7529919743537903
202,(آرلي فيلاسكيز) من المكسيك أنهى الخامسة عشرة في قاعة (سوبر جي) لـ (نيوزيلاندا) لـ (آدم هول) أنهى التاسعة في (سوبر جي) الرجال الواقفين,احتلّ المركز الخامس عشر المكسيكي أرلي فلاسكويز في سباق سوبر جي في وضع الجّلوس للرجال. بينما احتلّ آدم هول النيوزيلندي المركز التّاسع في بطولة سوبر جي في وضع الوقوف للرجال.,أنهى أربلي فيلاسكيز من المكسيك المركز الخامس عشر في سباق سوبر-جي للرجال في فئة الجلوس. بينما حصل آدم هول من نيوزيلندا على المركز التاسع في سباق سوبر-جي للرجال في فئة الوقوف.,0.7009873986244202,0.6794218420982361,0.6900361776351929,0.755483090877533,0.7365986704826355,0.7459213733673096
203,المتزلجة ماسيج كريزل و المرشدة آنا أوغارزينسكا أنهت الثالثة عشر في سوبر جي كوريا الجنوبية,احتل المتزلج البولندي من ضعاف البصر ماسيج كريزيل والمرشدة آنا أوغارزينسكا المركز الثالث عشر في سباق Super-G. أنهى جونغ سورك بارك من كوريا الجنوبية السباق في المركز الرابع والعشرين في بطولة Super-G للرجال من المعوقين.,أنهى المتزلج البولندي المكفوف ماكجي كريزيل ومرشدته آنا أوجاريزنسكا المركز الثالث عشر في سباق سوبر جي. بينما أنهى المتزلج الكوري الجنوبي جونغ سيوك بارك المركز الرابع والعشرين في سباق سوبر جي لذوي المقاعد.,0.7906471490859985,0.6961954236030579,0.7404211759567261,0.7661138772964478,0.7067246437072754,0.7352218627929688
204,ويُلام حفظة السلام التابعون للأمم المتحدة، الذين وصلوا إلى هايتي بعد زلزال عام 2010، على انتشار المرض الذي بدأ بالقرب من معسكر القوات.,يتمُّ إلقاء اللوم على قوات حفظ السلام التابعة للأمم المتحدة، الذين وصلوا إلى هايتي بعد زلزال ٢٠١٠، بسبب انتشار المرضِ الذي بدأ بالقرب من مُعسكر القوات.,تُلقى اللوم على قوات الأمم المتحدة لحفظ السلام، التي وصلت إلى هايتي بعد زلزال 2010، في انتشار المرض الذي بدأ بالقرب من مخيم الجنود.,0.8914432525634766,0.8450390100479126,0.8676210641860962,0.8648127317428589,0.856780469417572,0.8607778549194336
205,ووفقا لهذه الدعوى، لم تكن النفايات من معسكر الأمم المتحدة مطهرة على النحو السليم، مما أدى إلى دخول البكتيريا إلى روافد نهر أرتيبونيت، وهو أحد أكبر نهر هايتي.,وفقًا للدعوى القضائية، فإنّ نفايات معسكر الأمم المتّحدة لم تُعقَّم كما ينبغي، ممّا أدّى إلى تسلل البكتيريا إلى رافد نهر أرتيبونايت، أحد أكبر أنهار هايتي.,وفقا للدعوى القضائية، لم يتم تعقيم النفايات من معسكر الأمم المتحدة بشكل صحيح، مما أدى إلى دخول بكتيريا إلى أحد روافد نهر أرتيبوني، وهو أحد أكبر الأنهار في هايتي.,0.8321215510368347,0.780813992023468,0.8056517243385315,0.8777539730072021,0.8707941770553589,0.8742601871490479
206,وقبل وصول القوات، لم تكن هايتي تواجه مشاكل تتعلق بالمرض منذ القرن التاسع عشر.,قبل وصول القوات، لم تواجه هايتي مشاكل متعلقة بالمرض منذ القرن التاسع عشر.,قبل وصول القوات، لم تواجه هايتي مشكلات تتعلق بالمرض منذ القرن التاسع عشر.,0.9321631193161011,0.946233868598938,0.9391458034515381,0.9321721196174622,0.9424279928207397,0.9372720122337341
207,وقد أشار معهد هايتي للعدالة والديمقراطية إلى دراسات مستقلة تشير إلى أن الكتيبة النيبالية لحفظ السلام التابعة للأمم المتحدة جلبت المرض إلى هايتي دون علمها.,قام المعهد الهايتي للعدالة والديمقراطية بالإشارة إلى دراساتٍ مُستقلّة تقترح أنه قد جلبت كتيبة حفظ السلام النيبالية التابعة للأمم المتحدة المرض بدون علم منها إلى هايتي.,أشار معهد هايتي للعدالة والديمقراطية إلى دراسات مستقلة تقترح أن كتيبة حفظ السلام النيبالية التابعة للأمم المتحدة جلبت المرض إلى هايتي دون علمها.,0.8920576572418213,0.8683978915214539,0.8800687789916992,0.9551507234573364,0.9642764329910278,0.9596918821334839
208,وذكر دانييل لانتاغن، وهو خبير من الأمم المتحدة في هذا المرض، أن من المحتمل أن يكون أفراد حفظ السلام هم السبب في تفشي المرض.,صرحت دانييلا لانتين، إحدى خبراء المرض التابعين للأمم المتحدة أنه من المرجح أن يكون سبب تفشي المرض هو قوات حفظ السلام.,صرحت دانييل لانتانج، خبيرة الأمم المتحدة في هذا المرض، أن تفشي المرض كان من المحتمل أن يكون ناتجًا عن قوات حفظ السلام.,0.836910605430603,0.837946891784668,0.8374283909797668,0.8828705549240112,0.8769999146461487,0.8799253702163696
209,أكد (هاميلتون) أن مستشفى جامعة (هاورد) أدخل المريض في حالة مستقرة,أكد هاميلتون أن مستشفى جامعة هوارد استقبل المريض في حالة مستقرة.,أكد هاملتون أن مستشفى جامعة هوارد قد استقبل المريض في حالة مستقرة.,0.8907206058502197,0.9187191128730774,0.9045032858848572,0.883918046951294,0.9068377017974854,0.8952312469482422
210,وكان المريض قد ذهب إلى نيجيريا، حيث حدثت بعض حالات فيروس إيبولا.,لقد زار المريض نيجيريا حيث سُجلت بعض حالات الإصابة بفيروس إيبولا.,ذهب المريض إلى نيجيريا، حيث حدثت بعض حالات فيروس الإيبولا.,0.9001333117485046,0.8815557956695557,0.8907476663589478,0.952485203742981,0.9622220993041992,0.9573288559913635
211,وقد اتبع المستشفى بروتوكولاً لمكافحة العدوى، بما في ذلك فصل المريض عن غيره لمنع إمكانية إصابة الآخرين.,اتبعت المستشفى بروتوكول مكافحة العدوى، بما في ذلك فصل المريض عن الآخرين لمنع انتقال العدوى المحتملة للآخرين.,تبع المستشفى بروتوكول السيطرة على العدوى، بما في ذلك فصل المريض عن الآخرين لمنع احتمال إصابة الآخرين.,0.8922536373138428,0.8835111856460571,0.887860894203186,0.8893982172012329,0.9214692115783691,0.9051496982574463
212,قبل أن يعمل آل سيمبسون سيمون على عدة عروض في مواقع مختلفة.,"قبل ""ذا سيمبسونز"" عمل سايمون في عدة عروض في مناصب مختلفة.",قبل عائلة سمبسون، كان سايمون قد عمل في عدة برامج في عدة مناصب.,0.8594129681587219,0.8275282382965088,0.8431693315505981,0.8032554388046265,0.7972780466079712,0.8002555966377258
213,خلال الثمانينيات عمل على عروض مثل تاكسي، بريز، و برنامج تريسي أولمان.,وخلال الثمانينيات من القرن الماضي، عمل في عروض مثل تاكسي و تشيرز وذا تريسي أولمان شو.,"خلال الثمانينيات، عمل في برامج مثل ""تاكسي""، و""تشيرز""، و""عرض تريسي أولمان"".",0.904564380645752,0.8782134056091309,0.8911941647529602,0.9128410816192627,0.877995491027832,0.8950792551040649
214,"في عام 1989 ساعد في إنشاء ""ذا سيمبسونز"" مع ""بروكس"" و ""غرونينج""، وكان مسؤولاً عن توظيف أول فريق كتابة في البرنامج.",في سنة 1989 ساهم في خلق سمبسنز مع بروكس وكرونينغ، كان مسؤولاً عن توظيف أول فريق كتابة لهذا العرض.,"في عام 1989، ساعد في إنشاء مسلسل ""ذا سيمبسونز"" مع بروكس وغروينينغ، وكان مسؤولًا عن تعيين أول فريق كتابة للعرض.",0.848232626914978,0.88531893491745,0.8663791418075562,0.9132413268089294,0.9154011011123657,0.9143199920654297
